"New"	"Old"
G72	G1
G60	G2
G65	G3
G94	G4
G16	G5
G24	G6
G38	G7
G71	G8
G81	G9
G34	G10
G40	G11
G77	G12
G51	G13
G4	G14
G41	G15
G5	G16
G69	G17
G79	G18
G70	G19
G2	G20
G80	G21
G82	G22
G32	G23
G99	G24
G83	G25
G92	G26
G53	G27
G84	G28
G26	G29
G23	G30
G93	G31
G87	G32
G29	G33
G12	G34
G36	G35
G88	G36
G54	G37
G59	G38
G43	G39
G35	G40
G98	G41
G66	G42
G86	G43
G85	G44
G7	G45
G17	G46
G22	G47
G18	G48
G27	G49
G58	G50
G39	G51
G73	G52
G62	G53
G46	G54
G49	G55
G63	G56
G31	G57
G56	G58
G37	G59
G76	G60
G28	G61
G91	G62
G97	G63
G10	G64
G20	G65
G44	G66
G64	G67
G100	G68
G78	G69
G6	G70
G30	G71
G8	G72
G50	G73
G74	G74
G61	G75
G1	G76
G19	G77
G47	G78
G68	G79
G90	G80
G96	G81
G3	G82
G75	G83
G13	G84
G11	G85
G9	G86
G48	G87
G57	G88
G25	G89
G67	G90
G33	G91
G42	G92
G21	G93
G55	G94
G15	G95
G89	G96
G95	G97
G52	G98
G45	G99
G14	G100
