"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
0.6592590	0.4454889	0.7103159	0.5500598	0.3062532	0.4586573	0.3317526	0.3075551	0.5751007	0.7833376
0.5714152	0.3574887	0.6381973	0.6608160	0.2412652	0.4871350	0.1773050	0.4188356	0.7982204	0.5736541
0.3712188	0.2761955	0.5225473	0.5969313	0.2492549	0.4129448	0.2060399	0.5135813	0.5472611	0.3810056
0.6701215	0.5445062	0.6009387	0.7642822	0.3547997	0.5790239	0.4000886	0.2215312	0.4717823	0.7089481
0.5558667	0.5498735	0.7059569	0.2935240	0.4471942	0.3855159	0.3461994	0.2327287	0.5860152	0.7428548
0.7721401	0.4343386	0.7695754	0.4531024	0.3479526	0.4477634	0.2890872	0.2843496	0.2296562	0.5245470
0.6572696	0.0975032	0.6275173	0.6842175	0.1837366	0.6872754	0.0217571	0.6287175	0.5885137	0.5857722
0.7384421	0.1209490	0.5959753	0.6309689	0.0525983	0.5887133	0.2022094	0.7027898	0.8131159	0.7412245
0.5572924	0.4749984	0.5801788	0.7037300	0.3067097	0.4353309	0.3168288	0.4413691	0.2723136	0.2402677
0.5177695	0.0906980	0.7015127	0.6565627	0.1296958	0.7913042	0.0116184	0.4501229	0.5835957	0.5898666
