"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
0.1944844	0.3673244	0.3439374	0.2747248	0.7987403	0.7444074	0.3401270	0.7592441	0.6299905	0.7012409
0.4067994	0.1435724	0.6925429	0.1560836	0.6009635	0.7077610	0.3707337	0.7188832	0.6450214	0.8184742
0.4527854	0.1960420	0.4207319	0.2171866	0.7510002	0.7751234	0.2841134	0.7853284	0.6281867	0.6847279
0.5144612	0.1502894	0.6476440	0.1351524	0.7904894	0.7989405	0.2770852	0.6241267	0.7177454	0.6925043
0.3852419	0.2062475	0.7625497	0.1384979	0.3871321	0.6125078	0.2742027	0.6575826	0.6373972	0.8356199
0.3227155	0.2791640	0.6464613	0.2433190	0.6062200	0.3429256	0.5270903	0.7032360	0.6374568	0.6885045
0.6014480	0.1464686	0.5789811	0.1985984	0.6900933	0.7321180	0.1631012	0.5996060	0.6891494	0.7618903
0.5763641	0.1571288	0.6857554	0.1876804	0.7327728	0.6550893	0.2095870	0.3822635	0.5959924	0.6923094
0.5619803	0.1751310	0.8226231	0.2088632	0.6742534	0.6128153	0.4373580	0.6981908	0.3654554	0.7075470
0.5394318	0.1980162	0.5951648	0.2039392	0.6902093	0.7641028	0.2833996	0.8437247	0.4969241	0.3460565
