"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
0.0000000	0.5703673	0.2341650	0.3905655	0.7314676	0.6889945	0.3708682	0.7451565	0.5438791	0.6978963
0.4383911	0.0000000	0.8039343	0.1589782	0.6123121	0.7340374	0.3448314	0.7074323	0.7321662	0.7134279
0.4983886	0.2315713	0.0000000	0.6900630	0.7341915	0.6280990	0.3174139	0.7214084	0.7663892	0.7310157
0.0950699	0.4671629	0.2786550	0.0000000	0.8830528	0.8269424	0.4012907	0.6202118	0.5999343	0.7694250
0.5764580	0.1241165	0.6843278	0.1819023	0.0000000	0.6604640	0.3938929	0.6185536	0.6198141	0.7186432
0.1955094	0.2802954	0.7153625	0.1743353	0.6381701	0.0000000	0.7543317	0.6156724	0.7441342	0.7762052
0.6703582	0.1636292	0.5509479	0.1890483	0.6666926	0.7385922	0.0000000	0.7207063	0.6733333	0.6851983
0.4604686	0.2102592	0.3336255	0.2403793	0.7285668	0.1003052	0.4566515	0.0000000	0.6121352	0.7589095
0.3838917	0.2252648	0.6406942	0.2196600	0.6333673	0.8323450	0.3729162	0.6853334	0.0000000	0.5559449
0.3958518	0.1763871	0.7975718	0.1722240	0.7496904	0.6943181	0.3954267	0.7049329	0.2836445	0.0000000
