"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"
0.0969991	0.2273660	0.4314033	0.3505642	0.6141656	0.0372784	0.6088064	0.4020184	0.0243010	0.5342577	0.0077548	0.3074774	0.0209263	0.0178343	0.0078074	0.1572096	0.3483921	0.5246559	0.0380104	0.0043254	0.0596416	0.1802206	0.1312107	0.1058146	0.1172472	0.6831295	0.4671564	0.2760593	0.1553939	0.5298092	0.2533082	0.0177095	0.1965998	0.1481416	0.5297990	0.6972820	0.6888104	0.1414594	0.0391153	0.5968529	0.0414286	0.6614050	0.5247134	0.4897147	0.5839587	0.6460658	0.6766755	0.4764327	0.4743111	0.1708570	0.5849312	0.7032644	0.3834631	0.2800763	0.3775499	0.4109276	0.2927588	0.3069964	0.0594925	0.2148683	0.0269670	0.2664714	0.6297361	0.5377019	0.4468326	0.3664347	0.3000753	0.3228907	0.4631748	0.0163267	0.1684867	0.0371046	0.0676736	0.1037766	0.3324492	0.6659848	0.0140062	0.1105961	0.1724263	0.0227363	0.3296923	0.2024897	0.6732245	0.1654110	0.5020315	0.1590004	0.1520308	0.1001234	0.0413732	0.7401796	0.5207942	0.3488557	0.6480200	0.4602987	0.4224325	0.6403883	0.2384129	0.6516955	0.5363789	0.6409271
0.1403573	0.1160430	0.4982184	0.2862524	0.7081964	0.0376990	0.6456384	0.4476367	0.0318306	0.4442968	0.0238948	0.2907820	0.0326319	0.0082785	0.0087007	0.1638587	0.3807005	0.4572849	0.0382077	0.0060735	0.0457328	0.1529319	0.1343317	0.1210139	0.0798064	0.6252963	0.5300937	0.2855325	0.2104165	0.4924795	0.1824045	0.0240991	0.2441192	0.1112913	0.5829188	0.6101525	0.6275128	0.1026203	0.0524153	0.7144504	0.0295571	0.6923681	0.5879381	0.5871904	0.6965229	0.6157876	0.6422744	0.6469524	0.3772157	0.2163583	0.5234688	0.6114584	0.4512452	0.2702531	0.5086885	0.4946782	0.1577467	0.2380690	0.1138431	0.2476652	0.0163729	0.2866406	0.4922897	0.3733480	0.4634916	0.4117426	0.3038697	0.3082255	0.4509415	0.0293569	0.2779169	0.0273554	0.0497445	0.1013450	0.4442863	0.5563797	0.0169423	0.0605418	0.1512659	0.0280181	0.3677316	0.1158194	0.6521404	0.1296269	0.5309754	0.2242765	0.1140824	0.0423087	0.0624452	0.6042533	0.6095646	0.4469384	0.6550621	0.3707001	0.5224159	0.5945979	0.2092501	0.5902573	0.5614538	0.5481466
0.0758636	0.2154618	0.2454128	0.2630252	0.6955264	0.0577894	0.6598119	0.4236088	0.0052884	0.5048736	0.0302456	0.3672236	0.0238033	0.0110348	0.0049595	0.1512063	0.3576900	0.4891338	0.0488751	0.0058025	0.0424821	0.1059931	0.1414135	0.1305474	0.1553693	0.7386108	0.5045842	0.2946674	0.1777773	0.4306191	0.2098532	0.0181387	0.2295778	0.0805414	0.4968618	0.6397629	0.6264195	0.1202474	0.0488058	0.7265010	0.0477285	0.5949203	0.7187026	0.4244683	0.5539506	0.6089901	0.5070225	0.5026924	0.3356319	0.1546495	0.6301024	0.6722721	0.4940250	0.1910841	0.4789099	0.2851449	0.3253525	0.3417049	0.1012085	0.2225672	0.0229288	0.2771911	0.5935270	0.4894795	0.6061722	0.3173116	0.3441614	0.4310102	0.5123939	0.0250180	0.2136788	0.0404344	0.0406276	0.0552654	0.4302880	0.6414970	0.0174747	0.0810675	0.1603783	0.0234556	0.3541560	0.0932022	0.6326322	0.2015095	0.4252262	0.1769362	0.1130075	0.1060321	0.0476771	0.5862231	0.7207829	0.3110210	0.6371526	0.4152869	0.4058005	0.5233868	0.2782301	0.5519769	0.5889094	0.5711478
0.0813936	0.1935028	0.5611370	0.1335100	0.6575688	0.0533191	0.5340826	0.4151548	0.0109941	0.4081660	0.0314786	0.3514763	0.0275260	0.0229210	0.0056975	0.1116768	0.3322847	0.4451014	0.0931838	0.0046045	0.0555543	0.1584320	0.1271739	0.1542873	0.1337958	0.6436309	0.5283384	0.4861678	0.1995259	0.4719967	0.1720115	0.0377849	0.2109363	0.0951596	0.5990282	0.6331871	0.6298923	0.1386595	0.0625024	0.5725985	0.0709912	0.5786786	0.5360393	0.4465295	0.5426645	0.6733277	0.5772727	0.6068639	0.3387760	0.1813993	0.5384011	0.6992990	0.4866250	0.1891912	0.5753118	0.4110452	0.2318647	0.2591687	0.1525818	0.2520350	0.0148537	0.2720000	0.6235966	0.4278245	0.5248317	0.2285524	0.3334059	0.4675223	0.4890945	0.0165894	0.2121090	0.0150260	0.0462225	0.0342837	0.3677095	0.6328956	0.0107347	0.2043745	0.1688101	0.0226943	0.3295642	0.1469587	0.5716538	0.1224384	0.6097592	0.1783123	0.1373158	0.1283405	0.0386208	0.6272998	0.6702723	0.4987898	0.5495521	0.3683045	0.3921483	0.6432756	0.3518327	0.6812123	0.5547289	0.4983147
0.1469715	0.0194670	0.5201262	0.2003620	0.2894760	0.1462362	0.5220554	0.3256837	0.0093941	0.3454225	0.1312654	0.4691265	0.0361564	0.0659924	0.2129050	0.3365994	0.5292636	0.5829001	0.0685451	0.0334981	0.0651621	0.1704247	0.1303961	0.1119177	0.1309405	0.5126919	0.4195224	0.3261374	0.1908181	0.4830406	0.2373636	0.0056545	0.2481766	0.0896989	0.7358316	0.5666216	0.6515171	0.1541242	0.0498409	0.7102077	0.0515825	0.6076630	0.4987917	0.3478346	0.6005607	0.6136536	0.4968112	0.5208625	0.4125230	0.1561052	0.5691585	0.6006808	0.4155536	0.3001959	0.5356607	0.4988058	0.2213000	0.2363280	0.0658646	0.2559713	0.0150019	0.3135323	0.6419415	0.3881352	0.5648892	0.4181965	0.2867001	0.3376896	0.5350981	0.0292839	0.2475730	0.0340889	0.0753443	0.0537254	0.3242880	0.7386824	0.0147907	0.1042114	0.1248718	0.0110359	0.3981765	0.0917574	0.6522759	0.1714722	0.5808695	0.2240102	0.0989281	0.0700316	0.0523692	0.6401334	0.6567098	0.4882078	0.5304604	0.3928464	0.3658904	0.6371340	0.2402194	0.6720296	0.5209749	0.6439135
0.1441205	0.3267834	0.5487471	0.3258758	0.7102921	0.0243079	0.8702454	0.4112203	0.0019010	0.2951172	0.0110582	0.3377124	0.0464533	0.0257874	0.0154178	0.1026040	0.3368469	0.4860288	0.1065702	0.0007052	0.0655690	0.1529058	0.1640365	0.1012941	0.0454821	0.6232982	0.3945549	0.3628516	0.1726696	0.3925371	0.1634400	0.0090755	0.2168788	0.1240354	0.6592058	0.6735881	0.6278794	0.0799746	0.0696726	0.5748752	0.0213142	0.6300254	0.7076155	0.4316877	0.5938501	0.6967237	0.5934440	0.5924241	0.3549188	0.1327854	0.5459221	0.6484425	0.3968679	0.2517274	0.4683447	0.2501902	0.2942942	0.2834870	0.0854460	0.2137487	0.0126270	0.3401393	0.4844924	0.4585703	0.4462452	0.3116401	0.3338377	0.3821286	0.3929569	0.0171610	0.1524217	0.0281646	0.0483942	0.0524753	0.4320909	0.6235790	0.0187624	0.1017613	0.1476154	0.0207245	0.3441925	0.0965746	0.6569548	0.2263362	0.4531183	0.1418925	0.1230358	0.0470686	0.0402425	0.6850047	0.6001225	0.4045326	0.5738928	0.3484364	0.5546589	0.5885396	0.2801299	0.7394933	0.5078129	0.5919740
0.1654223	0.2095778	0.3717906	0.5031225	0.6667014	0.0500830	0.4232655	0.3437234	0.0279513	0.4896810	0.0227000	0.3891743	0.0204850	0.0328073	0.0070206	0.0625631	0.3771739	0.5126552	0.0692191	0.0018589	0.0470014	0.1681893	0.1659999	0.0957893	0.1045873	0.7189731	0.4531080	0.3547264	0.1738009	0.4167952	0.1806247	0.0168624	0.2737011	0.0734716	0.6470962	0.6502799	0.6120200	0.0932530	0.0242923	0.6020442	0.0683471	0.6243336	0.6765024	0.6272639	0.5559954	0.5822206	0.5201977	0.4962661	0.3383028	0.1879990	0.6312781	0.6618753	0.4253220	0.2552528	0.5080964	0.2594748	0.2515931	0.2385400	0.0671817	0.2099452	0.0205046	0.3343159	0.5254774	0.3992946	0.4634046	0.3458597	0.3385680	0.3711069	0.4904451	0.0229205	0.1478334	0.0133195	0.0351191	0.0875861	0.3836326	0.6148002	0.0245569	0.0961366	0.1369832	0.0165286	0.4446486	0.1136672	0.6156116	0.1812746	0.6587471	0.1349981	0.1157216	0.0589511	0.0292064	0.5697247	0.6492198	0.3978367	0.5810583	0.3641270	0.4522210	0.6828576	0.1874884	0.6159949	0.4313480	0.6979970
0.1470061	0.1501897	0.5107545	0.3007039	0.5965813	0.0358647	0.6541183	0.2307316	0.0085812	0.4196233	0.0133402	0.4191704	0.0226941	0.0116006	0.0071446	0.0699295	0.3664528	0.5277340	0.0410330	0.0004561	0.0532453	0.1142160	0.1169592	0.2308641	0.1548756	0.6428453	0.4408947	0.3313269	0.1504745	0.4854258	0.2133563	0.0306976	0.2572024	0.1169626	0.5159293	0.5696737	0.5746322	0.1157849	0.0648603	0.6540745	0.0620916	0.5934502	0.6935330	0.6528847	0.5984443	0.7156832	0.6209520	0.5743914	0.5494681	0.1778454	0.6835029	0.5589696	0.4700381	0.2460783	0.4605109	0.3876949	0.2971405	0.3005175	0.0868195	0.2344906	0.0151624	0.2970019	0.7192520	0.5146877	0.5196934	0.2944047	0.2788497	0.3932951	0.4822304	0.0240728	0.1750667	0.0087574	0.0695671	0.0828522	0.2959475	0.5313399	0.0109489	0.0748273	0.1921648	0.0295389	0.4033312	0.1015947	0.5874752	0.1685407	0.4683449	0.1871986	0.1388699	0.1323917	0.0540234	0.7456947	0.5670816	0.3871004	0.6141097	0.4750648	0.4287635	0.6383260	0.2335963	0.6906225	0.5784114	0.6776168
0.1104275	0.2609168	0.4512722	0.3049651	0.5862775	0.0295645	0.6755461	0.4210850	0.0062526	0.4813911	0.0209702	0.3789135	0.0438741	0.0516893	0.0061759	0.0829975	0.3344566	0.4939569	0.0640642	0.0151370	0.0152440	0.1467694	0.0821988	0.1300767	0.1117103	0.7572167	0.4511022	0.2795242	0.1537162	0.4377233	0.2612492	0.0160455	0.2706588	0.0915422	0.5681283	0.5732446	0.6464970	0.1142030	0.0513676	0.6900731	0.0360193	0.6479070	0.8638362	0.4570659	0.6818959	0.6107245	0.6268005	0.7568741	0.4380108	0.1582117	0.5273584	0.6342882	0.3516464	0.2159032	0.5247959	0.2986464	0.2655968	0.2073701	0.0989630	0.2711964	0.0146138	0.2560594	0.6032620	0.4921857	0.3761255	0.2838082	0.3373010	0.4137342	0.4599710	0.0450117	0.1915239	0.0486488	0.0334877	0.0741170	0.3352174	0.6222440	0.0134134	0.0674126	0.1736552	0.0448832	0.3114688	0.1259431	0.6822483	0.1405851	0.5733499	0.2575545	0.0908681	0.0733859	0.0416362	0.7173860	0.6164997	0.4245123	0.6331309	0.4388890	0.4893662	0.6337688	0.2694664	0.6639461	0.5670224	0.6718936
0.1706772	0.2215309	0.5428514	0.3571646	0.6788397	0.0396120	0.6431151	0.4768379	0.0065969	0.2323834	0.0099365	0.2757128	0.0294254	0.0132657	0.0053776	0.0683340	0.3720145	0.5544016	0.0542570	0.0016648	0.0390493	0.1713519	0.1512780	0.1465605	0.1284716	0.6270191	0.4050439	0.3735650	0.1543606	0.4665408	0.0999026	0.0060952	0.1872095	0.1008972	0.6610451	0.7764296	0.5946432	0.0983287	0.0632594	0.6331682	0.0299636	0.6944573	0.6272287	0.3717550	0.5530935	0.6872451	0.5594030	0.5796410	0.3524099	0.1633915	0.7608507	0.6028381	0.4262748	0.1522183	0.5419597	0.2477960	0.2660132	0.2105480	0.1282591	0.1724648	0.0115672	0.2358815	0.5247780	0.4112148	0.4513866	0.4574149	0.3308483	0.3533056	0.4522566	0.0263772	0.2533939	0.0220621	0.0354562	0.0815726	0.4085901	0.6704300	0.0124018	0.1001877	0.1907955	0.0314737	0.3328166	0.1103470	0.6810760	0.1551828	0.6718107	0.1317512	0.1553026	0.1054761	0.0331549	0.6135947	0.6073629	0.4241594	0.6054368	0.3572777	0.3936291	0.6189781	0.2807694	0.6036433	0.4958731	0.6015290
