"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"
0.0000000	0.6013808	0.6765057	0.0293824	0.5587393	0.2457081	0.1428977	0.5007933	0.7270222	0.6420924	0.7006553	0.7211867	0.1865440	0.2625827	0.5665819	0.3147556	0.6248182	0.4032326	0.0035837	0.0017634	0.4403679	0.2363656	0.7544476	0.3845564	0.0350706	0.0229977	0.1416682	0.6592769	0.4782285	0.6625440	0.4831825	0.7617691	0.1117349	0.6929902	0.5109280	0.3671514	0.3072702	0.5543135	0.4760594	0.2909365	0.2946872	0.3930134	0.1947936	0.6580485	0.7721808	0.0122150	0.1282131	0.5534321	0.3906336	0.2309833	0.3599170	0.7194704	0.3069282	0.5818366	0.6208193	0.0795264	0.5420314	0.5096237	0.7256699	0.4856332	0.4969111	0.6436922	0.3665020	0.2458181	0.2219572	0.5062322	0.3571971	0.2993053	0.5755484	0.2224970	0.1975578	0.2551170	0.2505962	0.4498043	0.3699618	0.1606474	0.0078380	0.4590736	0.4725905	0.1944814	0.4156844	0.2567692	0.5391847	0.2547971	0.4701940	0.8387267	0.1851538	0.5416577	0.4730684	0.6784522	0.4394114	0.4864998	0.6385281	0.6852381	0.6736355	0.6649192	0.3078232	0.7718525	0.8317302	0.5688362
0.7371449	0.0000000	0.4463226	0.5117652	0.2856854	0.4472774	0.4441800	0.0982265	0.6458426	0.2781733	0.5815868	0.5619047	0.5633481	0.4181466	0.7147977	0.2723882	0.2928139	0.3536078	0.2157691	0.6674333	0.2545786	0.0278384	0.5541951	0.3492044	0.0503963	0.0530254	0.1512956	0.6202925	0.5152268	0.6430792	0.4127955	0.7816628	0.0833605	0.5734918	0.5636595	0.3409148	0.4826161	0.4771693	0.4887091	0.3452170	0.0293986	0.2204510	0.1895687	0.5716368	0.5856107	0.0009441	0.1075764	0.4746358	0.4081687	0.4333641	0.1819955	0.5327474	0.0460650	0.4591449	0.5225218	0.1295739	0.4950605	0.5287073	0.8883152	0.5857010	0.5394790	0.6672803	0.3820126	0.2826724	0.3015358	0.4422467	0.2906068	0.2679633	0.7039001	0.1372908	0.1837303	0.1769102	0.1636233	0.4554394	0.3737117	0.1558863	0.0075462	0.4805782	0.5337058	0.1533138	0.3456102	0.2683961	0.6140872	0.1265604	0.3636805	0.6399408	0.1770849	0.6545624	0.5551846	0.7193619	0.4158494	0.4125191	0.4059688	0.6418402	0.6276268	0.5928934	0.2454472	0.6065495	0.5181851	0.6271970
0.6641406	0.0618140	0.0000000	0.3555009	0.2854860	0.5223918	0.4598164	0.0859878	0.5896965	0.1740431	0.4676928	0.5856537	0.5728124	0.4076326	0.7007604	0.1647959	0.3042474	0.3833443	0.2072620	0.6843768	0.2219646	0.0204836	0.6659835	0.3811370	0.0166467	0.0802267	0.1834841	0.6691637	0.5368762	0.6683934	0.4271179	0.6024858	0.0861603	0.6583769	0.5600623	0.2443518	0.3767055	0.4895133	0.4552543	0.3283480	0.0202222	0.2631044	0.2922824	0.7347027	0.6538809	0.0076890	0.1858990	0.6053435	0.4528040	0.5407081	0.2309758	0.6104792	0.0488979	0.5465992	0.5955084	0.1960093	0.2966850	0.5539588	0.7469922	0.5277092	0.5175657	0.6648778	0.3754395	0.2863085	0.1858696	0.5141153	0.2707127	0.2115029	0.6620894	0.1690247	0.1746877	0.1477018	0.2216825	0.3853402	0.3838887	0.1157958	0.0013620	0.3645557	0.6095153	0.1166303	0.2738575	0.2931829	0.4417695	0.1512959	0.4162350	0.6722819	0.2708274	0.5320550	0.5111292	0.5442515	0.3739739	0.4153253	0.4716396	0.6458010	0.8280275	0.7461137	0.1879247	0.5621787	0.6198471	0.6537634
0.5924779	0.0664304	0.5472683	0.0000000	0.1946901	0.3736985	0.6275121	0.0556541	0.5850635	0.1796157	0.6616771	0.6375941	0.5474587	0.3922823	0.7393753	0.2039508	0.3311048	0.4233411	0.2030155	0.6800574	0.3002007	0.0254196	0.6659806	0.3134942	0.0266199	0.0235864	0.1497657	0.6688528	0.5383621	0.6708696	0.4495093	0.8104722	0.0928503	0.7548299	0.6145730	0.3413242	0.4385350	0.5243592	0.4341014	0.4109425	0.0150610	0.2699243	0.2336157	0.6495599	0.6906147	0.0086870	0.0718290	0.5042617	0.4930618	0.5275092	0.2389414	0.6512480	0.0833473	0.5431833	0.6840174	0.0899543	0.3383678	0.5602259	0.6433885	0.4991766	0.4767974	0.7125779	0.4343146	0.1614143	0.1942233	0.4657554	0.3170876	0.2591446	0.5821230	0.1958791	0.2297512	0.1639223	0.1904475	0.3728901	0.4206926	0.1778950	0.0014763	0.5265146	0.5216179	0.1740403	0.3466901	0.2422578	0.5905155	0.1495527	0.4197912	0.6781317	0.1737573	0.6043165	0.4901074	0.5961574	0.3475423	0.4770317	0.5787034	0.7078286	0.5806220	0.6092516	0.3978446	0.7454226	0.6868293	0.6736331
0.0233308	0.5657537	0.6060786	0.0274568	0.0000000	0.5011810	0.1514675	0.5135287	0.6319458	0.5791707	0.7236744	0.5978741	0.7113369	0.6531163	0.6622986	0.3388912	0.3994184	0.3950542	0.2047664	0.0416782	0.0704534	0.0253153	0.6629861	0.3353463	0.0113015	0.0493666	0.1910542	0.7222474	0.4605455	0.7274846	0.4736732	0.7068381	0.0969922	0.5912100	0.0113294	0.2912308	0.4904986	0.5326947	0.3319565	0.3989415	0.0116337	0.2163999	0.3596911	0.0519292	0.6692979	0.0151781	0.0834695	0.5271641	0.6209178	0.6139322	0.1793608	0.7149616	0.0157661	0.2630727	0.2274429	0.6239036	0.2649883	0.1204259	0.5581812	0.5072443	0.4801092	0.7723873	0.3321728	0.2741194	0.1937649	0.5027987	0.3283918	0.1988291	0.6765397	0.1695933	0.1805838	0.1845168	0.2261717	0.3968736	0.3313367	0.1566655	0.0012561	0.4630247	0.5417357	0.3115247	0.2714746	0.2333953	0.5906422	0.1165883	0.3356121	0.6188712	0.1971466	0.4420659	0.3391985	0.6037563	0.4661217	0.4407570	0.5279156	0.6237076	0.6945818	0.6732924	0.2468253	0.6701494	0.6206796	0.5521287
0.6001010	0.0790332	0.5256326	0.4479092	0.2116123	0.0000000	0.5282487	0.0649776	0.6365732	0.2451898	0.5670593	0.3486549	0.4634587	0.1903029	0.6474187	0.1961421	0.3251030	0.3336651	0.1779396	0.6378239	0.2425451	0.0204819	0.6698454	0.4321816	0.0421321	0.0505670	0.1742389	0.7943729	0.5074077	0.8035828	0.3905728	0.5989945	0.1216768	0.7128125	0.4923083	0.3888179	0.3534618	0.4331607	0.4958618	0.3442867	0.0293643	0.2620230	0.2405814	0.6196121	0.6618763	0.0098868	0.0787342	0.4915459	0.3120935	0.3961891	0.2092220	0.6145653	0.0947246	0.5379376	0.5338593	0.1416241	0.3923491	0.5364074	0.6592174	0.4998994	0.5899469	0.6424386	0.3540701	0.2757554	0.3241372	0.4485801	0.2400072	0.2086054	0.6171442	0.2002950	0.1351869	0.2177199	0.1441633	0.3994795	0.3841235	0.1192969	0.0045760	0.4303487	0.5526250	0.1945527	0.3253742	0.2443026	0.6496846	0.0881598	0.4523840	0.5475069	0.2146107	0.5739873	0.3815330	0.6010962	0.4389281	0.3616565	0.5972003	0.6815372	0.6297374	0.5943949	0.2498851	0.7465100	0.7632191	0.6239904
0.6496167	0.0667221	0.6272837	0.4939700	0.2783756	0.3833860	0.0000000	0.0459079	0.4954433	0.2395801	0.5782940	0.5956248	0.4967976	0.3433952	0.6212258	0.2557967	0.3382497	0.4633172	0.2371992	0.6695803	0.2129399	0.0286866	0.6221254	0.3270766	0.0255940	0.0230066	0.0927160	0.6111423	0.3612184	0.6934996	0.4779688	0.5883629	0.1008294	0.7254277	0.5324072	0.3869235	0.3408818	0.4519583	0.4035211	0.3148184	0.0342295	0.1971024	0.2843617	0.5805873	0.6323363	0.0120346	0.1137504	0.5357018	0.3406543	0.5521786	0.2160216	0.6295855	0.0594222	0.4341679	0.4940210	0.1504445	0.4203965	0.5460706	0.5553226	0.7458739	0.6275224	0.6100125	0.3935477	0.1519706	0.2481869	0.4890893	0.3758051	0.3149582	0.6513202	0.2156231	0.2159017	0.3697066	0.3478395	0.5254930	0.4193291	0.2440306	0.0079003	0.4046498	0.5588429	0.1727275	0.3851593	0.2802487	0.5952077	0.1478163	0.3934301	0.6925804	0.2253123	0.5815023	0.4577385	0.6243392	0.3193790	0.4817677	0.5410788	0.6873933	0.7342702	0.7365007	0.2905856	0.6846250	0.6810077	0.6901533
0.5397476	0.1105400	0.4661943	0.4073070	0.2862022	0.4120473	0.4838056	0.0000000	0.6138144	0.2071916	0.6895572	0.5012241	0.5624141	0.3223099	0.8240842	0.1858063	0.2596652	0.4329039	0.1860803	0.6581688	0.2147392	0.0289205	0.6547225	0.3934176	0.0160918	0.0195546	0.1645682	0.7015355	0.5757562	0.8252796	0.3730023	0.6422999	0.0767597	0.9232567	0.5616477	0.3914410	0.4154510	0.5064498	0.4641356	0.3184344	0.0195788	0.1490831	0.3349599	0.7216616	0.6045232	0.0094641	0.0748876	0.5055503	0.4648758	0.4516059	0.1507258	0.6401032	0.0762917	0.5170581	0.6328150	0.1090815	0.4429632	0.4917738	0.6349094	0.5270300	0.5807754	0.5576401	0.4117127	0.2686415	0.2698791	0.3940421	0.3074304	0.2192649	0.6888427	0.1247967	0.1484342	0.1599998	0.1430569	0.3636773	0.4680608	0.1511192	0.0070924	0.4939525	0.4978828	0.2393416	0.3357877	0.3041229	0.5393783	0.1854533	0.2184939	0.6216009	0.2300127	0.5367398	0.4519389	0.4627302	0.4745096	0.3966035	0.5300326	0.6630344	0.6898151	0.6079524	0.3015958	0.6198699	0.7645911	0.7766986
0.7786211	0.0619348	0.4954967	0.4245507	0.2957525	0.4091967	0.5807401	0.0626734	0.0000000	0.2213856	0.5557439	0.6359255	0.4343011	0.3106549	0.6263882	0.1683161	0.3690086	0.4970120	0.2530773	0.6266886	0.3104694	0.0172848	0.5745581	0.3012717	0.0199201	0.0263118	0.1580665	0.6514740	0.5973045	0.7005096	0.4269073	0.6644871	0.0721090	0.6513800	0.6482847	0.2283273	0.4082600	0.4370674	0.5121797	0.2958238	0.0167804	0.2067784	0.2454641	0.7388021	0.5947785	0.0027069	0.1477306	0.4841634	0.3751831	0.4474992	0.1869657	0.6322741	0.0948691	0.5315721	0.7264525	0.1343082	0.4507653	0.5037691	0.5456525	0.5330514	0.4858431	0.7370248	0.2265691	0.2614655	0.2048101	0.4005917	0.2441940	0.2511652	0.6306016	0.1560316	0.1949648	0.1853288	0.1404427	0.4008768	0.3855121	0.1192442	0.0018068	0.4976207	0.6326295	0.2632348	0.2962998	0.2504694	0.6016546	0.1056169	0.3193186	0.6019469	0.2898418	0.4520781	0.4200467	0.5393324	0.3522173	0.3812429	0.4910067	0.5843367	0.6059906	0.7337891	0.3021353	0.7368117	0.6881757	0.6852825
0.5670733	0.0737010	0.4239883	0.4790204	0.2748430	0.4610521	0.4109609	0.0773686	0.5954748	0.0000000	0.6438901	0.5162614	0.5546488	0.2918544	0.6537293	0.1529897	0.4278251	0.4226023	0.1754326	0.6646506	0.2180730	0.0486028	0.6822342	0.4090022	0.0115773	0.0423961	0.1630900	0.6491479	0.5498178	0.6567195	0.4789641	0.7405808	0.0693191	0.5963213	0.5548171	0.2987706	0.5649245	0.4871117	0.4101388	0.3099245	0.0246817	0.1837552	0.2931965	0.7190277	0.5533345	0.0319190	0.0984298	0.4358726	0.3831827	0.5439539	0.2567992	0.6808288	0.0936792	0.4584369	0.5632129	0.1233057	0.4222667	0.6096175	0.7191995	0.4640063	0.5810441	0.5719281	0.3645623	0.2380233	0.2907485	0.6051126	0.3391440	0.2421865	0.6146922	0.1300274	0.1314642	0.1226149	0.1167621	0.3937800	0.3526352	0.0943149	0.0102878	0.6691639	0.4337801	0.1954480	0.3302105	0.2910055	0.4921066	0.1720550	0.2815642	0.6001856	0.2275969	0.5691560	0.4522477	0.6544953	0.4799093	0.3706116	0.6361131	0.7498204	0.7041642	0.6732388	0.2940089	0.5796329	0.7483092	0.7799536
