"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"	"G51"	"G52"	"G53"	"G54"	"G55"	"G56"	"G57"	"G58"	"G59"	"G60"	"G61"	"G62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"G72"	"G73"	"G74"	"G75"	"G76"	"G77"	"G78"	"G79"	"G80"	"G81"	"G82"	"G83"	"G84"	"G85"	"G86"	"G87"	"G88"	"G89"	"G90"	"G91"	"G92"	"G93"	"G94"	"G95"	"G96"	"G97"	"G98"	"G99"	"G100"
0.0016210	0.3369910	0.1078531	0.0334319	0.0747753	0.2426885	0.0671145	0.0720961	0.5596602	0.3538322	0.3508948	0.0858288	0.0269522	0.4761573	0.0814466	0.2274779	0.5664004	0.4023161	0.6036526	0.0644966	0.0453894	0.4028313	0.0000302	0.6167872	0.5271738	0.0444560	0.4461638	0.0036625	0.7093012	0.6517339	0.0062153	0.2816501	0.5596388	0.2519916	0.1606366	0.2943702	0.1403201	0.4702428	0.2248746	0.4716043	0.6074326	0.6425150	0.5448374	0.5347543	0.0440371	0.3598673	0.0573862	0.5632835	0.4360380	0.2450340	0.0096069	0.6705978	0.1899617	0.4756283	0.2938695	0.1741512	0.5392895	0.5309955	0.1204103	0.1217356	0.1163151	0.1697451	0.3036982	0.0253527	0.3253529	0.0006607	0.6959833	0.1902392	0.4790778	0.4752619	0.6606868	0.3767447	0.3494498	0.0491280	0.5363976	0.5970333	0.4044692	0.0979007	0.4875373	0.1877955	0.4899146	0.0009127	0.3946778	0.4586972	0.0338016	0.3759166	0.2433389	0.2279286	0.5415230	0.1262568	0.2023943	0.4029970	0.1769896	0.2145888	0.4879857	0.2892064	0.5210142	0.5563122	0.5546516	0.0610266
0.0001941	0.5526794	0.2786224	0.1174342	0.4836403	0.0037565	0.3235930	0.1339370	0.4362350	0.4389744	0.3663634	0.5244335	0.0164065	0.6095746	0.0036813	0.0360692	0.3629200	0.0718219	0.2634717	0.0690640	0.0758460	0.0173414	0.1233904	0.6828681	0.2206751	0.0449385	0.5370507	0.0138351	0.5761181	0.6812687	0.0500237	0.5840172	0.7982046	0.2478500	0.1523232	0.4688763	0.0344650	0.5472781	0.0461248	0.3629661	0.5445497	0.7203469	0.5833801	0.2914028	0.0431953	0.6691506	0.2606712	0.0647481	0.3350272	0.2966729	0.0634433	0.6688269	0.3211538	0.6380535	0.5692666	0.0001025	0.6460002	0.3526413	0.0014627	0.1802926	0.2485089	0.3364474	0.5245277	0.0004820	0.6856491	0.0532232	0.6208352	0.2550648	0.5641799	0.3058371	0.5753521	0.5277095	0.6396050	0.0768898	0.4905584	0.6120775	0.0119716	0.3025649	0.0626618	0.1459454	0.7785194	0.1964926	0.4772413	0.2855083	0.0510962	0.1872688	0.4388821	0.1259857	0.4928094	0.3855008	0.0619348	0.3306114	0.3813951	0.2243491	0.2847179	0.3582199	0.3942839	0.5471796	0.4859929	0.0222883
0.0003059	0.5584165	0.4692727	0.3039486	0.3117542	0.0065733	0.0114576	0.3107709	0.1892252	0.4712394	0.2410908	0.2811289	0.0222262	0.5517997	0.0062558	0.3114966	0.6380055	0.3431205	0.6215356	0.2096285	0.0468484	0.2634709	0.0007723	0.5930538	0.0032071	0.0663720	0.4059894	0.0258031	0.6701707	0.6342427	0.2014943	0.0257936	0.3601058	0.1421669	0.2453603	0.1299721	0.0025226	0.2764949	0.3755637	0.2776305	0.4249437	0.7064215	0.6354745	0.5635148	0.0411644	0.3593991	0.3620532	0.0003198	0.6982399	0.2215696	0.6089864	0.5727064	0.4246625	0.5444508	0.4387361	0.0020576	0.1830955	0.5243769	0.0045362	0.0569141	0.3118186	0.2308184	0.6154167	0.0113164	0.5061580	0.0346974	0.2776149	0.0436098	0.5725637	0.1562184	0.1579827	0.2236004	0.4435171	0.0106158	0.4885220	0.4894408	0.2995626	0.1619079	0.3349164	0.5303508	0.7445480	0.5086270	0.2913579	0.5214748	0.0023312	0.3228697	0.2804067	0.6544434	0.5052696	0.5373654	0.0789777	0.5916881	0.6170410	0.4485989	0.5230632	0.5696128	0.0001605	0.6202464	0.4959434	0.0525917
0.0002191	0.5932441	0.1972957	0.2295826	0.2787654	0.0118147	0.0049643	0.2588689	0.2414809	0.3415440	0.1343163	0.6593066	0.1117262	0.5665808	0.0307549	0.3448295	0.6813156	0.3409898	0.6127074	0.1692122	0.0804177	0.3165376	0.3048886	0.4123266	0.0036716	0.0739227	0.2065004	0.0128103	0.6883446	0.6859195	0.1061195	0.7168921	0.4952464	0.1938551	0.3290207	0.6699153	0.0562461	0.5536988	0.1988467	0.3417815	0.3306630	0.2651499	0.6524011	0.2994830	0.0040298	0.4332648	0.5170224	0.0025712	0.3423965	0.2494887	0.1378538	0.3139685	0.3171521	0.7664607	0.2991978	0.0007518	0.5545528	0.5265384	0.0202645	0.2129237	0.3440909	0.0696155	0.3679890	0.0422124	0.3728148	0.0003449	0.6535512	0.3255241	0.4308411	0.4268800	0.3342360	0.4805772	0.6398325	0.0374444	0.4516059	0.6267158	0.1812280	0.2926881	0.4540586	0.1232576	0.8295405	0.3580688	0.6885563	0.4639654	0.0909883	0.4644137	0.3891396	0.6478661	0.5369057	0.3815128	0.1432836	0.1979111	0.5167590	0.2031991	0.3675606	0.3286026	0.0393128	0.3193939	0.5729523	0.0501878
0.1053232	0.4295724	0.0781203	0.3528688	0.2550642	0.3861065	0.1492659	0.2599731	0.6049559	0.4615925	0.4475273	0.3223904	0.1122144	0.5710710	0.0696824	0.0614048	0.6444685	0.1614277	0.5467062	0.5255504	0.0621037	0.2480556	0.1693685	0.6179929	0.0749412	0.0059801	0.3251199	0.0919749	0.6189353	0.6927572	0.0090436	0.2985974	0.7195851	0.1880648	0.3519550	0.2437266	0.1348697	0.4733681	0.4840124	0.2651340	0.2586365	0.6581443	0.5687189	0.2488922	0.0014269	0.7773434	0.6405677	0.0012294	0.6312729	0.3001571	0.1051433	0.4364269	0.1944629	0.4301678	0.4444347	0.0572868	0.6674901	0.1563422	0.0117896	0.2891726	0.4043129	0.2936650	0.0107258	0.5237077	0.6317124	0.0016013	0.7683491	0.3391003	0.4281479	0.3749110	0.5345487	0.5618057	0.3488747	0.0283704	0.4326934	0.6942086	0.1185668	0.5031710	0.2127722	0.3984295	0.6795806	0.2135185	0.4915436	0.2951055	0.0058108	0.6614376	0.2905538	0.2356766	0.4176691	0.3808670	0.0769568	0.6706302	0.0903955	0.1426581	0.4840262	0.3134556	0.2226781	0.6903863	0.4643301	0.0613077
0.0048731	0.5058174	0.2513470	0.2406219	0.0237880	0.1477146	0.3558817	0.2983732	0.4941360	0.4703611	0.1974807	0.1837975	0.1179427	0.5182967	0.0585277	0.2305410	0.3465030	0.0184654	0.8212448	0.1670018	0.0254815	0.1023931	0.0000261	0.7714872	0.3938329	0.2511021	0.1960051	0.0950439	0.6771450	0.6444529	0.1950134	0.4157698	0.6033116	0.1342419	0.2045748	0.2284105	0.0746935	0.4452205	0.1608819	0.0852087	0.2239309	0.7264670	0.5238283	0.4352417	0.0081975	0.2020166	0.3441991	0.0048668	0.5918098	0.1263944	0.1922276	0.6239745	0.1911588	0.4679129	0.4917661	0.0725650	0.4570915	0.3098362	0.0202890	0.3085864	0.4300072	0.5344108	0.6501014	0.2513304	0.5789941	0.0838398	0.6967462	0.1983447	0.4485272	0.4075359	0.2343631	0.2971794	0.5008357	0.0494747	0.4119836	0.6045180	0.0193883	0.1514541	0.4404504	0.1901919	0.6362307	0.1871627	0.6334650	0.4202689	0.0688374	0.3562535	0.3625837	0.4359405	0.4781738	0.3412221	0.0636096	0.7232328	0.2756086	0.3237182	0.7092215	0.4201273	0.2554720	0.5121723	0.4048653	0.0588326
0.0005944	0.3158903	0.3257224	0.5967866	0.4112684	0.0254248	0.2792924	0.2829451	0.2410817	0.5425424	0.2150955	0.3136429	0.0569668	0.5163262	0.0035723	0.0315666	0.4719796	0.0942961	0.6837730	0.3525418	0.0314991	0.1136880	0.0039566	0.6602477	0.0558963	0.1565442	0.3743524	0.6490899	0.7012279	0.7220263	0.3403759	0.0684589	0.6834123	0.0586017	0.1681777	0.5249459	0.0001107	0.2465422	0.3642483	0.3556712	0.3058505	0.7913999	0.7390500	0.5163854	0.0026565	0.3168856	0.3614752	0.0004189	0.5231283	0.1797086	0.5057732	0.6302473	0.4684843	0.6489807	0.5089874	0.0268409	0.4809478	0.7467186	0.0988211	0.2420176	0.2780745	0.3453438	0.5735273	0.0854073	0.2919563	0.0156255	0.6947546	0.2313332	0.6169128	0.0696466	0.2345966	0.3526328	0.2617499	0.0394532	0.5508936	0.6224289	0.0448470	0.5448451	0.1667523	0.6415833	0.5967518	0.5379946	0.5891689	0.4895130	0.0638684	0.3769684	0.3610839	0.4073257	0.5092960	0.2697749	0.5909081	0.4049397	0.3296640	0.4089186	0.5214817	0.3777042	0.0515247	0.5316335	0.1388158	0.0002682
0.0002581	0.4290841	0.2149055	0.5797563	0.6212479	0.1973689	0.0666221	0.3674832	0.0797653	0.5186666	0.2361122	0.6022191	0.0073860	0.6548531	0.0956833	0.0359342	0.6199222	0.2871571	0.6167701	0.1944033	0.0306114	0.6211058	0.0006488	0.6998525	0.3638350	0.2592590	0.5047520	0.0870817	0.6328706	0.5362828	0.5149525	0.4006417	0.7027563	0.2537388	0.2853011	0.1979591	0.0368959	0.6370302	0.1747011	0.4410768	0.1946835	0.6283043	0.5938807	0.3604954	0.0012631	0.4641433	0.3551189	0.0002261	0.5671438	0.5000141	0.2416284	0.6506800	0.3749740	0.5707098	0.6298038	0.0055510	0.5010937	0.4557528	0.0896528	0.5273278	0.3765942	0.4137949	0.5316620	0.3953448	0.5612605	0.0826324	0.5529232	0.3483818	0.5830486	0.0574355	0.3215476	0.2931998	0.6869581	0.0351049	0.5567061	0.5956437	0.7781727	0.1281304	0.3493731	0.1917362	0.1856175	0.4814540	0.5799022	0.6776715	0.0466417	0.5621296	0.1848964	0.4631796	0.5603234	0.3801611	0.0694047	0.4062702	0.3977365	0.2442101	0.3667405	0.2900263	0.6081980	0.4806002	0.3583023	0.0048207
0.2949020	0.4082562	0.2497274	0.5451326	0.1787347	0.0004367	0.1854997	0.3552347	0.4052706	0.4286059	0.3859052	0.1761125	0.0091379	0.6149709	0.0000390	0.0538392	0.6926085	0.2077081	0.6174104	0.1768865	0.0640538	0.6125225	0.0001463	0.5216456	0.3038088	0.2922620	0.1172161	0.1002837	0.6585821	0.7138522	0.5323097	0.3734494	0.6359056	0.1132926	0.1740666	0.2538630	0.0454749	0.5287990	0.3426329	0.3208147	0.0420088	0.6677761	0.6919014	0.5692571	0.0492391	0.3036962	0.4052611	0.0025808	0.5139969	0.4235074	0.2745022	0.7481463	0.2896679	0.4683014	0.4432439	0.0236996	0.5105222	0.4488002	0.1452597	0.5409812	0.3310291	0.6314186	0.6008937	0.2210907	0.5493363	0.1871675	0.6042574	0.1855659	0.5044634	0.2741610	0.2354163	0.4241347	0.4316317	0.0322446	0.6201027	0.4078954	0.0217450	0.1355952	0.0773485	0.1133388	0.7066505	0.3308428	0.3947295	0.5483083	0.0578604	0.5241776	0.2974258	0.5677906	0.6052059	0.2760539	0.0216157	0.2535062	0.1408610	0.3231452	0.4985215	0.3546126	0.6610556	0.5085997	0.4953628	0.0225867
0.0328207	0.3439009	0.2823007	0.3268041	0.2880430	0.0074002	0.0438578	0.2974843	0.3869345	0.5808840	0.1582892	0.4972925	0.0427427	0.6916479	0.0034564	0.0327987	0.6030383	0.2621400	0.2681281	0.2846310	0.0484166	0.5882457	0.0000003	0.5446985	0.0001049	0.3032346	0.2251292	0.0957046	0.7146881	0.5087139	0.2931013	0.4508215	0.6534767	0.1372659	0.1294611	0.2053124	0.0003330	0.5628068	0.2463760	0.2572704	0.1530479	0.5066907	0.6365374	0.4131065	0.0105649	0.6770600	0.3769785	0.0035271	0.6657053	0.3001475	0.2740233	0.6347764	0.3971060	0.5841411	0.5721942	0.0016421	0.6385985	0.4627885	0.0090794	0.1510029	0.1232202	0.5681993	0.5707173	0.0012978	0.6680356	0.0003958	0.5728436	0.3115286	0.6601453	0.3067258	0.3869283	0.3272390	0.4878759	0.0106686	0.7373109	0.4154099	0.0592509	0.0548949	0.2965525	0.2326443	0.7462095	0.3517559	0.7231510	0.4213328	0.0019658	0.5203322	0.3051851	0.3779326	0.5411852	0.4517542	0.0793729	0.6284052	0.3508899	0.3401492	0.4592941	0.3255810	0.0867732	0.6158400	0.2334201	0.0001329
